epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3126.13,1.58137,2.27094,1.60108,0.47016,0.43088,0.40781,0.17651,1.89624,2.31907,1.98162,0.000664251,0.000664251,0.000664251
2,6220.22,1.81248,2.08967,1.80262,0.48385,0.32708,0.31629,0.1385,2.16839,2.42196,2.07148,0.00119916,0.00119916,0.00119916
3,9819.03,1.79059,1.95557,1.80548,0.60604,0.46707,0.49089,0.23167,1.83502,1.90436,1.96234,0.00160206,0.00160206,0.00160206
4,12888.2,1.72481,1.83244,1.74821,0.50293,0.41692,0.42675,0.20809,1.87444,1.84527,2.00498,0.001406,0.001406,0.001406
5,16971.2,1.63358,1.65267,1.66812,0.70865,0.53772,0.6189,0.33647,1.54148,1.46331,1.63642,0.001208,0.001208,0.001208
6,20849.8,1.55517,1.50179,1.60134,0.67382,0.54956,0.60718,0.33486,1.48412,1.55274,1.58894,0.00101,0.00101,0.00101
7,24949.3,1.48375,1.40488,1.53535,0.74475,0.58024,0.68255,0.38897,1.47356,1.33761,1.59273,0.000812,0.000812,0.000812
8,28706.9,1.40498,1.31334,1.48658,0.75228,0.62713,0.71279,0.41901,1.37076,1.19198,1.48087,0.000614,0.000614,0.000614
9,32590.8,1.33844,1.20516,1.42953,0.79484,0.65556,0.7475,0.46067,1.30644,1.10535,1.43492,0.000416,0.000416,0.000416
10,36485.1,1.27836,1.12158,1.38755,0.78701,0.68251,0.76835,0.48148,1.25651,1.04875,1.38888,0.000218,0.000218,0.000218
